links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
3310,6,5,5,0.0,0.2647058823529412,0.013043478260869565
3320,6,5,5,0.0,0.26359832635983266,0.01293103448275862
3330,6,5,5,0.0,0.26359832635983266,0.012875536480686695
3340,6,5,5,0.0,0.2625,0.01276595744680851
3350,6,5,5,0.0,0.26141078838174275,0.012658227848101266
3360,6,5,5,0.0,0.2716049382716049,0.012552301255230125
3370,6,5,5,0.0,0.27049180327868855,0.012552301255230125
3380,6,5,5,0.0,0.2693877551020408,0.012396694214876033
3390,6,5,5,0.0,0.2682926829268293,0.012295081967213115
3400,6,5,5,0.0,0.2682926829268293,0.012195121951219513
3410,6,5,5,0.0,0.2661290322580645,0.012096774193548387
3420,6,5,5,0.0,0.26506024096385544,0.012096774193548387
3430,6,5,5,0.0,0.26506024096385544,0.01195219123505976
3440,6,5,5,0.0,0.264,0.01195219123505976
3450,6,5,5,0.0,0.26294820717131473,0.011857707509881422
3460,6,5,5,0.0,0.25984251968503935,0.011764705882352941
3470,6,5,5,0.0,0.25680933852140075,0.011673151750972763
3480,6,5,5,0.0,0.25287356321839083,0.011673151750972763
3490,6,5,5,0.0,0.25190839694656486,0.011673151750972763
3500,6,5,5,0.0,0.2509505703422053,0.011673151750972763
3510,6,5,5,0.0,0.2490566037735849,0.011673151750972763
3520,6,5,5,0.0,0.2490566037735849,0.011673151750972763
3530,6,5,5,0.0,0.2490566037735849,0.011627906976744186
3540,6,5,5,0.0,0.24719101123595505,0.011627906976744186
3550,6,5,5,0.0,0.2462686567164179,0.011583011583011582
3560,6,5,5,0.0,0.24535315985130113,0.011494252873563218
3570,6,5,5,0.0,0.2426470588235294,0.011494252873563218
3580,6,5,5,0.0,0.2426470588235294,0.011450381679389313
3590,6,5,5,0.0,0.2426470588235294,0.011320754716981131
3600,6,5,5,0.01090909090909091,0.2426470588235294,0.011152416356877323
3610,6,5,5,0.01090909090909091,0.24,0.01098901098901099
3620,6,5,5,0.010869565217391304,0.24,0.01098901098901099
3630,6,5,5,0.01079136690647482,0.23741007194244604,0.01090909090909091
3640,6,5,5,0.010752688172043012,0.23404255319148937,0.01090909090909091
3650,6,5,5,0.010714285714285714,0.23404255319148937,0.01079136690647482
3660,6,5,5,0.01060070671378092,0.2332155477031802,0.010752688172043012
3670,6,5,5,0.010526315789473684,0.2323943661971831,0.010752688172043012
3680,6,5,5,0.010526315789473684,0.2323943661971831,0.010714285714285714
3690,6,5,5,0.01048951048951049,0.23157894736842105,0.01060070671378092
3700,6,5,5,0.010273972602739725,0.23157894736842105,0.010526315789473684
3710,6,5,5,0.010273972602739725,0.23958333333333334,0.010526315789473684
3720,6,5,5,0.010238907849829351,0.23711340206185566,0.01048951048951049
3730,6,5,5,0.01020408163265306,0.23711340206185566,0.010416666666666666
3740,6,5,5,0.010135135135135136,0.24489795918367346,0.010380622837370242
3750,6,5,5,0.010033444816053512,0.2440677966101695,0.010344827586206896
3760,6,5,5,0.010033444816053512,0.2508361204013378,0.010273972602739725
3770,6,5,5,0.009966777408637873,0.2508361204013378,0.01020408163265306
3780,6,5,5,0.009966777408637873,0.25,0.010169491525423728
3790,6,5,5,0.009933774834437087,0.24916943521594684,0.010169491525423728
3800,6,5,5,0.009900990099009901,0.24916943521594684,0.010135135135135136
3810,6,5,5,0.00980392156862745,0.24916943521594684,0.010101010101010102
3820,6,5,5,0.009771986970684038,0.24834437086092714,0.01
3830,6,5,5,0.009771986970684038,0.24671052631578946,0.01
3840,6,5,5,0.009771986970684038,0.24671052631578946,0.01
3850,6,5,5,0.00974025974025974,0.24671052631578946,0.009933774834437087
3860,6,5,5,0.00974025974025974,0.24671052631578946,0.009933774834437087
3870,6,5,5,0.00974025974025974,0.2435064935064935,0.009868421052631578
3880,6,5,5,0.00974025974025974,0.24115755627009647,0.009868421052631578
3890,6,5,5,0.00964630225080386,0.2403846153846154,0.00974025974025974
3900,6,5,5,0.009615384615384616,0.23961661341853036,0.009615384615384616
3910,6,5,5,0.009615384615384616,0.23961661341853036,0.009554140127388535
3920,6,5,5,0.009615384615384616,0.23659305993690852,0.009554140127388535
3930,6,5,5,0.009584664536741214,0.2358490566037736,0.00949367088607595
3940,6,5,5,0.009554140127388535,0.23510971786833856,0.00946372239747634
3950,6,5,5,0.00949367088607595,0.234375,0.009433962264150943
3960,6,5,5,0.00949367088607595,0.234375,0.009345794392523364
3970,6,5,5,0.00946372239747634,0.2336448598130841,0.009316770186335404
3980,6,5,5,0.009375,0.2329192546583851,0.009287925696594427
3990,6,5,5,0.009375,0.23219814241486067,0.009230769230769232
4000,6,5,5,0.009375,0.23148148148148148,0.009202453987730062
4010,6,5,5,0.009316770186335404,0.22935779816513763,0.009174311926605505
4020,6,5,5,0.009287925696594427,0.23493975903614459,0.00911854103343465
4030,6,5,5,0.009287925696594427,0.23283582089552238,0.009036144578313253
4040,6,5,5,0.009174311926605505,0.2314540059347181,0.009009009009009009
4050,6,5,5,0.00911854103343465,0.2314540059347181,0.009009009009009009
4060,6,5,5,0.00909090909090909,0.23893805309734514,0.008928571428571428
4070,6,5,5,0.00906344410876133,0.23823529411764705,0.008875739644970414
4080,6,5,5,0.009036144578313253,0.24561403508771928,0.008823529411764706
