links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
17200,9384,9418,9418,0.17213722228626954,0.19108660998937302,0.10685852741927508
17300,9392,9430,9434,0.17352950750301097,0.191734506302521,0.10890427698574338
17400,9407,9435,9439,0.1751194325145973,0.19281994711483866,0.11026677185130326
17500,9423,9441,9451,0.1759935117599351,0.19346302503488205,0.11174757744999761
17600,9433,9450,9459,0.17711115999874288,0.19425349257135616,0.11376689587890042
17700,9439,9455,9467,0.1775586271160118,0.1958961356059539,0.11535589845694376
17800,9455,9467,9490,0.17827849967744908,0.1973280906529614,0.11657433056325023
17900,9463,9474,9503,0.17921402954227705,0.1984082038723502,0.11743772241992882
18000,9468,9484,9518,0.18097541919586513,0.1993702503860244,0.11863667143179595
18100,9479,9496,9520,0.1827153154492086,0.19998202408772245,0.12004284056763752
18200,9499,9506,9524,0.18286168381086929,0.20090059397727777,0.12186975840861607
18300,9503,9521,9528,0.1841071740268808,0.20137648264753258,0.1240906710120468
18400,9511,9535,9541,0.18577882650858968,0.20164889301031644,0.12546067027525049
18500,9523,9540,9550,0.18664902471296257,0.20279269602577873,0.1274040516283443
18600,9531,9547,9557,0.18800641458474004,0.2034337682206451,0.12853818489528243
18700,9546,9557,9567,0.18902141992233712,0.204007234895753,0.129997906635964
18800,9554,9563,9574,0.19022697223446453,0.20491234882946854,0.13021682088109376
18900,9558,9567,9582,0.1913215258855586,0.20599780400768597,0.13188029516261274
19000,9572,9577,9587,0.19215527699150828,0.20667309703976416,0.1332765335929893
19100,9577,9582,9595,0.19312102250743798,0.20739316354247908,0.13527947317699968
19200,9582,9585,9603,0.19403655186985,0.2077073547219524,0.1371004052228726
19300,9584,9591,9613,0.19485664230522834,0.20849847912249977,0.13904339612740726
19400,9589,9602,9618,0.19599549881649916,0.2094796241512778,0.1406852498604313
19500,9600,9609,9622,0.1970878635368243,0.21023174238809436,0.14253411105686462
19600,9602,9615,9631,0.19793845802746188,0.21077229543365,0.14437788545919342
19700,9609,9619,9638,0.1998670563004026,0.21183871456722753,0.14596003475238922
19800,9617,9624,9645,0.20081890936162292,0.21250093794552413,0.1478156792339916
19900,9622,9631,9652,0.20195815879021659,0.2136144712568252,0.14909225639125603
20000,9624,9632,9652,0.20233576642335765,0.21417542827733255,0.1503999412930212
20100,9625,9639,9655,0.20314681947320268,0.21491212110185218,0.1518642343193546
20200,9627,9647,9658,0.20361473074309422,0.21532548642805668,0.1533986638039606
20300,9633,9661,9660,0.20441421334183582,0.216111513826336,0.15592604467243776
